Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
10,1000,0.8,0.2,50.0,1000,20980,4176,518,50377.746094,0.010282
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.8,0.2,50.0,1000,30014,6110,774,49863.253906,0.015522
2,1000,0.8,0.2,50.0,1000,70871,8573,608,50150.925781,0.012123
3,1000,0.8,0.2,50.0,1000,32094,6346,832,50488.609375,0.016479
4,1000,0.8,0.2,50.0,1000,29395,5874,799,51784.664062,0.015429
5,1000,0.8,0.2,50.0,1000,34306,6771,883,48785.027344,0.018100
6,1000,0.8,0.2,50.0,1000,32468,6500,863,50517.300781,0.017083
7,1000,0.8,0.2,50.0,1000,29415,5832,720,50342.625000,0.014302
8,1000,0.8,0.2,50.0,1000,67328,8663,724,51364.242188,0.014095
9,1000,0.8,0.2,50.0,1000,33690,6804,911,48634.957031,0.018731
10,1000,0.8,0.2,50.0,1000,30369,6070,758,50739.433594,0.014939
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.8,0.2,50.0,1000,39209,7843,990,49837.082031,0.019865
2,1000,0.8,0.2,50.0,1000,170699,8660,577,50594.957031,0.011404
